state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id
Jharkhand,Garhwa,Kharaundhi,Arangi,Arangi,Kashiyarwa,1475552,1073707
Jharkhand,Garhwa,Kharaundhi,Kupa,Kupa,Kupa,1475584,695282
Jharkhand,Garhwa,Kharaundhi,Chandani,Chandni,Chandani,1475533,1752141
Jharkhand,Garhwa,Kharaundhi,Kupa,Kupa,Kupa,1475584,1820336
Jharkhand,Garhwa,Kharaundhi,Arangi,Arangi,Arangi,1475550,1826722
Jharkhand,Garhwa,Kharaundhi,Arangi,Torelawa,Torelawa,1475557,1826747
Jharkhand,Garhwa,Kharaundhi,Sundi,Pipra,Bihra Tola,1475495,1826900
Jharkhand,Garhwa,Kharaundhi,Kupa,Kupa,Kerwa Tola,1475587,1826939
Jharkhand,Garhwa,Kharaundhi,Sundi,Sundi,Dohari Tola,1475512,1073885
Jharkhand,Garhwa,Kharaundhi,Majhigawan (amrora),Majhganwan,Madhaw Dera,1475575,1073874
Jharkhand,Garhwa,Kharaundhi,Sundi,Pipra,Damar,1475493,1073822
Jharkhand,Garhwa,Kharaundhi,Chandani,Chandni,Chandani,1475533,1832943
Jharkhand,Garhwa,Kharaundhi,Chandani,Chandni,Chandani,1475533,1833039
Jharkhand,Garhwa,Kharaundhi,Chandani,Chandni,Chandani,1475533,1833407
